price,AreA,bedrooms,BATHROOMS,stories,mainroad,guestroom,basement,hotwaterheating,air conditioning,parking,prefarea,furnishing STATUS,houSeaGe
3640000.0,2850.0,3.0,2.0,2.0,no,no,yes,no,no,0.0,yes,unfurnished,
5250000.0,6540.0,4.0,2.0,2.0,no,no,no,no,yes,0.0,no,semi-furnished,
3010000.0,3240.0,3.0,1.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished,
3500000.0,4240.0,3.0,1.0,2.0,,no,no,no,yes,0.0,no,semi-furnished,
7140000.0,6000.0,3.0,2.0,2.0,yes,yes,no,no,no,1.0,no,semi-furnished,
8080940.0,7000.0,3.0,3.0,4.0,yes,no,no,no,yes,2.0,no,furnished,
8400000.0,7950.0,5.0,3.0,2.0,yes,no,yes,yes,no,2.0,no,unfurnished,
7343000.0,11440.0,4.0,1.0,2.0,,no,yes,no,no,1.0,yes,semi-furnished,
5740000.0,4640.0,,,2.0,yes,no,no,no,no,1.0,no,semi-furnished,
5810000.0,5200.0,3.0,1.0,3.0,yes,no,no,no,yes,0.0,no,semi-furnished,
4473000.0,6360.0,2.0,1.0,1.0,yes,no,yes,no,yes,1.0,no,furnished,
8295000.0,4880.0,4.0,3.0,2.0,yes,no,no,no,yes,1.0,yes,furnished,
5950000.0,6254.0,4.0,2.0,1.0,yes,no,yes,no,no,1.0,yes,semi-furnished,
,3000.0,,1.0,2.0,yes,no,yes,no,yes,0.0,no,semi-furnished,
3220000.0,4370.0,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,
8960000.0,8501.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished,
8120000.0,6840.0,5.0,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,
8190000.0,5960.0,3.0,3.0,2.0,yes,yes,yes,no,no,1.0,no,unfurnished,
8645000.0,8051.0,3.0,1.0,1.0,yes,yes,yes,no,yes,1.0,no,furnished,
4550000.0,8400.0,4.0,1.0,4.0,yes,no,no,no,no,3.0,no,unfurnished,
4095000.0,3680.0,3.0,2.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished,
3115000.0,3000.0,,1.0,1.0,no,no,,no,yes,0.0,no,unfurnished,
3290000.0,3792.0,4.0,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished,
3255000.0,3930.0,2.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished,
4060000.0,5900.0,4.0,2.0,2.0,no,no,yes,no,no,1.0,,,
7910000.0,6001.0,4.0,2.0,4.0,yes,no,no,no,yes,1.0,no,semi-furnished,
5495000.0,7980.0,3.0,1.0,1.0,yes,no,no,no,no,2.0,no,semi-furnished,
4165000.0,4046.0,3.0,1.0,2.0,yes,no,yes,no,no,1.0,no,semi-furnished,
6160000.0,4500.0,3.0,1.0,4.0,yes,no,no,no,yes,0.0,no,unfurnished,
5250000.0,8400.0,3.0,1.0,2.0,yes,yes,yes,no,yes,2.0,yes,unfurnished,
2730000.0,4000.0,3.0,1.0,2.0,yes,no,no,,no,1.0,no,unfurnished,
3773000.0,6930.0,4.0,1.0,2.0,no,no,no,no,no,1.0,no,furnished,
8295000.0,4881.0,4.0,2.0,2.0,yes,no,no,no,yes,,yes,furnished,
3640000.0,4130.0,3.0,2.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished,
4130000.0,4632.0,4.0,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished,
3220000.0,3120.0,3.0,1.0,2.0,no,no,no,no,no,0.0,no,furnished,
9310000.0,6551.0,4.0,3.0,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished,
4270000.0,6360.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,furnished,
3500000.0,3120.0,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,unfurnished,
7420000.0,7440.0,3.0,2.0,4.0,yes,no,no,,no,1.0,,unfurnished,
3150000.0,3069.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,unfurnished,
6510000.0,6670.0,3.0,1.0,3.0,yes,no,yes,no,no,0.0,yes,unfurnished,
3234000.0,3640.0,4.0,1.0,2.0,yes,no,yes,no,no,0.0,no,unfurnished,
3703000.0,5450.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,furnished,
3920000.0,2145.0,4.0,2.0,1.0,yes,no,yes,no,no,0.0,yes,unfurnished,
4550000.0,3760.0,3.0,1.0,1.0,yes,no,no,no,no,2.0,no,semi-furnished,
2940000.0,4960.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,
4473000.0,3510.0,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished,
9100000.0,6000.0,4.0,1.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished,
4585000.0,3840.0,3.0,1.0,2.0,yes,no,no,no,no,1.0,yes,semi-furnished,
8960000.0,8501.0,3.0,3.0,4.0,yes,no,no,no,yes,2.0,no,furnished,
6510000.0,6670.0,3.0,,3.0,,no,yes,no,no,,yes,Furnished,
4550000.0,5360.0,3.0,1.0,2.0,yes,no,no,no,no,2.0,yes,unfurnished,
3780000.0,3420.0,2.0,1.0,2.0,yes,no,no,yes,no,1.0,no,semi-furnished,
7875000.0,6550.0,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,yes,furnished,
3290000.0,2145.0,3.0,1.0,2.0,,no,yes,no,no,0.0,yes,furnished,
8400000.0,5501.0,4.0,2.0,2.0,,no,yes,no,yes,1.0,yes,semi-furnished,
7962500.0,6001.0,3.0,2.0,4.0,yes,yes,no,no,yes,2.0,no,unfurnished,
3493000.0,4900.0,3.0,1.0,2.0,no,no,no,no,,0.0,no,unfurnished,
6020000.0,6800.0,2.0,1.0,1.0,yes,yes,yes,no,no,2.0,no,furnished,
6790000.0,4000.0,3.0,,2.0,yes,,yes,no,yes,0.0,yes,semi-furnished,
4900000.0,6300.0,3.0,1.0,1.0,yes,no,no,,yes,,no,semi-furnished,
2604000.0,2910.0,2.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished,
7210000.0,7681.0,4.0,2.0,4.0,yes,yes,no,no,yes,1.0,no,semi-furnished,
3640000.0,3520.0,2.0,2.0,1.0,yes,no,yes,no,no,0.0,no,semi-furnished,
3990000.0,4100.0,4.0,1.0,1.0,no,no,yes,no,no,0.0,no,unfurnished,
7560000.0,6000.0,3.0,2.0,3.0,yes,no,no,no,yes,0.0,no,semi-furnished,
4585000.0,4000.0,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,furnished,
4550000.0,,3.0,1.0,1.0,yes,no,no,no,no,2.0,no,semi-furnished,
4480000.0,4000.0,3.0,1.0,2.0,yes,no,no,no,no,2.0,no,furnished,
2310000.0,3180.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,
8043000.0,7483.0,3.0,3.0,3.0,yes,no,no,yes,no,1.0,yes,furnished,
,8501.0,3.0,2.0,4.0,,no,no,no,yes,2.0,no,,
3360000.0,4120.0,2.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,
4025000.0,5400.0,3.0,1.0,1.0,yes,no,no,no,no,3.0,no,semi-furnished,
3500000.0,5880.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,
3360000.0,3185.0,2.0,1.0,1.0,yes,no,yes,no,no,2.0,no,Furnished,
2590000.0,3600.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,
1890000.0,3649.0,2.0,,,yes,no,no,no,no,0.0,no,,
2800000.0,3960.0,3.0,1.0,1.0,yes,no,no,no,no,0.0,no,furnished,
3780000.0,3600.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,semi-furnished,
8080940.0,7001.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished,
4200000.0,2145.0,3.0,1.0,3.0,yes,no,no,no,no,1.0,yes,unfurnished,
8855000.0,6420.0,3.0,3.0,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished,
5495000.0,,3.0,1.0,1.0,yes,no,no,no,no,,no,semi-furnished,
5880000.0,6500.0,3.0,2.0,3.0,yes,no,no,no,yes,0.0,no,unfurnished,
3710000.0,4050.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,furnished,
6195000.0,5500.0,3.0,2.0,1.0,yes,yes,yes,no,no,2.0,yes,furnished,
1750000.0,3850.0,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,
7140000.0,6001.0,3.0,2.0,2.0,yes,yes,no,no,,1.0,no,semi-furnished,
4690000.0,6000.0,2.0,1.0,1.0,yes,no,yes,no,yes,1.0,no,furnished,
6293000.0,6600.0,3.0,2.0,3.0,yes,no,no,no,yes,0.0,yes,unfurnished,
6650000.0,6420.0,,2.0,3.0,yes,no,,no,yes,0.0,yes,,
6160000.0,5450.0,4.0,2.0,1.0,yes,no,yes,no,yes,0.0,yes,semi-furnished,
8400000.0,8875.0,3.0,2.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished,
5250000.0,8520.0,3.0,1.0,1.0,yes,no,no,no,yes,2.0,no,furnished,
2233000.0,5300.0,3.0,1.0,1.0,no,no,no,no,yes,0.0,yes,unfurnished,
3920000.0,7260.0,3.0,2.0,1.0,yes,yes,yes,no,no,3.0,no,furnished,
10150000.0,16200.0,5.0,3.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,
3080000.0,4500.0,2.0,1.0,2.0,yes,no,no,yes,no,1.0,no,semi-furnished,
5040000.0,6600.0,3.0,1.0,1.0,yes,yes,yes,no,no,0.0,yes,furnished,
2135000.0,3000.0,2.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished,
4893000.0,3420.0,4.0,2.0,2.0,yes,no,yes,no,yes,2.0,no,semi-furnished,
4760000.0,6321.0,3.0,1.0,2.0,yes,no,yes,no,yes,1.0,no,furnished,
8400000.0,7000.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,semi-furnished,
3115000.0,3000.0,3.0,1.0,1.0,no,no,no,no,yes,0.0,no,unfurnished,
3395000.0,4785.0,3.0,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,
2450000.0,3240.0,2.0,1.0,1.0,no,yes,no,no,no,1.0,no,unfurnished,
3570000.0,3640.0,2.0,1.0,,yes,no,no,no,no,0.0,no,unfurnished,
3710000.0,3584.0,2.0,1.0,1.0,yes,no,no,yes,no,0.0,no,semi-furnished,28.0
2940000.0,3150.0,3.0,1.0,2.0,no,no,no,no,no,0.0,no,,
8463000.0,6000.0,3.0,2.0,4.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished,
4795000.0,8100.0,4.0,1.0,4.0,yes,no,yes,no,yes,2.0,no,semi-furnished,
5250000.0,5300.0,4.0,2.0,1.0,yes,no,no,no,yes,0.0,yes,unfurnished,
5250000.0,5500.0,3.0,2.0,,yes,no,yes,no,no,0.0,no,semi-furnished,
7840000.0,6361.0,3.0,2.0,4.0,yes,no,no,no,yes,0.0,yes,furnished,
5810000.0,4800.0,3.0,1.0,3.0,yes,no,no,no,yes,0.0,no,unfurnished,
4900000.0,5400.0,4.0,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished,
8400000.0,7001.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,semi-furnished,
4410000.0,4900.0,2.0,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished,
3640000.0,2275.0,3.0,1.0,3.0,yes,no,no,yes,yes,0.0,yes,semi-furnished,
4200000.0,4410.0,2.0,1.0,1.0,no,no,no,no,no,1.0,no,unfurnished,
2450000.0,4840.0,2.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,
5460000.0,6210.0,4.0,1.0,4.0,yes,yes,no,no,yes,0.0,no,furnished,
5740000.0,6360.0,3.0,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,furnished,
2800000.0,2650.0,3.0,1.0,2.0,yes,no,yes,no,no,1.0,no,unfurnished,
8960000.0,8500.0,3.0,3.0,4.0,yes,no,no,no,yes,2.0,no,furnished,
8680000.0,7155.0,3.0,3.0,1.0,yes,yes,yes,no,yes,2.0,no,unfurnished,
3087000.0,8100.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,unfurnished,
5950000.0,3700.0,4.0,1.0,2.0,yes,,no,no,yes,0.0,no,furnished,
2660000.0,2000.0,2.0,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished,
8575000.0,8800.0,3.0,3.0,2.0,yes,no,no,no,yes,2.0,no,furnished,
2660000.0,3480.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished,
3500000.0,2135.0,3.0,2.0,2.0,no,no,no,no,no,0.0,no,unfurnished,
4550000.0,8400.0,4.0,1.0,,yes,no,no,no,,3.0,,unfurnished,
3500000.0,3600.0,6.0,1.0,2.0,yes,no,,no,no,1.0,no,unfurnished,
7490000.0,6601.0,3.0,,4.0,yes,no,no,no,yes,3.0,yes,furnished,
9100000.0,6000.0,4.0,1.0,2.0,yes,,yes,no,no,2.0,no,semi-furnished,
3150000.0,4095.0,2.0,1.0,1.0,yes,no,no,no,no,2.0,no,semi-furnished,
2520000.0,3180.0,3.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished,
,,,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished,
3780000.0,8400.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,furnished,
4515000.0,3510.0,3.0,1.0,3.0,yes,no,no,no,no,0.0,no,semi-furnished,
4753000.0,6440.0,2.0,1.0,1.0,yes,no,no,no,yes,3.0,no,,
4830000.0,6862.0,3.0,1.0,2.0,yes,no,no,no,yes,2.0,yes,furnished,
4375000.0,3900.0,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,
4277000.0,3400.0,3.0,1.0,2.0,yes,no,yes,no,no,2.0,yes,semi-furnished,
3535000.0,3850.0,3.0,1.0,1.0,yes,no,no,no,no,2.0,no,unfurnished,
9100000.0,6001.0,4.0,2.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished,
4200000.0,2747.0,4.0,2.0,2.0,no,no,no,no,no,0.0,no,semi-furnished,
3500000.0,7350.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished,
3500000.0,5900.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,furnished,
3920000.0,8080.0,3.0,1.0,1.0,yes,no,no,no,yes,2.0,no,semi-furnished,
2940000.0,3480.0,3.0,1.0,2.0,no,no,no,no,no,1.0,no,semi-furnished,
5383000.0,6450.0,3.0,2.0,1.0,yes,yes,yes,yes,no,0.0,no,unfurnished,
5250000.0,,4.0,2.0,2.0,no,no,no,no,yes,0.0,no,semi-furnished,
,7156.0,3.0,3.0,1.0,yes,yes,yes,no,yes,2.0,no,unfurnished,
6650000.0,4260.0,4.0,2.0,2.0,yes,no,no,yes,no,0.0,no,semi-furnished,
7700000.0,6001.0,4.0,2.0,4.0,yes,no,no,no,no,2.0,no,semi-furnished,
6930000.0,13200.0,2.0,1.0,1.0,yes,no,yes,yes,no,1.0,no,furnished,
,7483.0,3.0,3.0,3.0,yes,no,no,yes,no,1.0,yes,furnished,
4305000.0,10360.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,yes,semi-furnished,
3325000.0,4775.0,4.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,
2520000.0,3180.0,3.0,1.0,1.0,no,no,no,no,,0.0,no,unfurnished,
2520000.0,2880.0,3.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished,
4270000.0,4360.0,4.0,1.0,2.0,yes,no,no,no,no,0.0,no,furnished,
7210000.0,6000.0,3.0,2.0,4.0,yes,yes,no,no,yes,1.0,no,furnished,
3500000.0,7424.0,3.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished,
8645000.0,4560.0,3.0,2.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,
7350000.0,,4.0,,4.0,yes,yes,,no,yes,1.0,no,furnished,
8890000.0,4601.0,3.0,3.0,2.0,yes,yes,no,no,yes,2.0,no,furnished,
2940000.0,3600.0,3.0,1.0,2.0,no,no,no,no,no,1.0,no,unfurnished,
4900000.0,12900.0,3.0,1.0,1.0,yes,no,no,no,no,2.0,no,furnished,
6615000.0,4000.0,3.0,2.0,2.0,yes,no,yes,no,yes,1.0,no,semi-furnished,
5950000.0,7020.0,3.0,1.0,1.0,yes,no,yes,no,yes,2.0,yes,semi-furnished,
7035000.0,6360.0,4.0,2.0,3.0,yes,no,no,no,yes,2.0,yes,furnished,
6685000.0,6600.0,2.0,2.0,4.0,yes,no,yes,no,no,0.0,yes,furnished,
2870000.0,3630.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,
7875000.0,6551.0,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,yes,furnished,
3570000.0,3640.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,
7070000.0,6241.0,4.0,2.0,2.0,yes,no,no,no,yes,1.0,no,furnished,
4620000.0,5010.0,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished,
3500000.0,3036.0,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished,
9100000.0,6000.0,4.0,2.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished,
3500000.0,4600.0,4.0,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished,
3675000.0,3600.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,furnished,
3395000.0,3450.0,3.0,1.0,1.0,yes,no,yes,no,no,2.0,no,unfurnished,
5040000.0,10700.0,3.0,1.0,2.0,yes,yes,yes,no,no,0.0,no,semi-furnished,
3675000.0,3630.0,2.0,1.0,1.0,yes,no,no,no,yes,0.0,no,unfurnished,
4900000.0,4120.0,2.0,1.0,1.0,yes,no,yes,no,no,1.0,no,semi-furnished,
4025000.0,3460.0,3.0,2.0,1.0,yes,no,yes,no,yes,1.0,no,furnished,
4900000.0,4770.0,3.0,1.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished,
7875000.0,6550.0,,1.0,2.0,yes,,yes,no,yes,,yes,,
6083000.0,4300.0,6.0,2.0,2.0,yes,no,no,no,no,0.0,no,furnished,
4900000.0,5800.0,2.0,1.0,1.0,yes,yes,yes,no,yes,0.0,no,semi-furnished,
5040000.0,7600.0,4.0,1.0,2.0,yes,no,no,no,yes,2.0,no,furnished,
3500000.0,3600.0,6.0,1.0,2.0,yes,no,no,no,no,1.0,no,unfurnished,
7420000.0,7441.0,3.0,2.0,4.0,yes,no,no,no,no,1.0,yes,unfurnished,
1855000.0,2990.0,2.0,1.0,1.0,no,no,no,no,no,1.0,no,unfurnished,
7350000.0,6001.0,3.0,2.0,2.0,yes,yes,no,no,yes,1.0,no,semi-furnished,
4123000.0,6060.0,2.0,1.0,1.0,yes,no,yes,no,no,1.0,no,semi-furnished,
4956000.0,2800.0,3.0,2.0,2.0,no,no,yes,no,yes,1.0,no,semi-furnished,
6510000.0,8250.0,3.0,2.0,3.0,yes,no,no,no,yes,0.0,no,furnished,
2345000.0,3640.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,
8400000.0,7475.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,unfurnished,
4007500.0,3460.0,4.0,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished,
6300000.0,4100.0,3.0,2.0,3.0,yes,,no,no,yes,2.0,no,,
4550000.0,2550.0,3.0,1.0,,yes,no,yes,,,0.0,no,furnished,
8540000.0,6540.0,4.0,2.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished,
3010000.0,3090.0,3.0,1.0,2.0,no,no,no,no,no,0.0,no,semi-furnished,
7962500.0,6000.0,3.0,1.0,4.0,yes,yes,no,no,yes,2.0,no,unfurnished,
,3120.0,,1.0,2.0,yes,,no,no,no,1.0,no,unfurnished,
8400000.0,7475.0,3.0,,4.0,yes,no,,no,yes,2.0,no,unfurnished,
5523000.0,6900.0,3.0,1.0,1.0,yes,yes,yes,no,no,0.0,yes,semi-furnished,
,6550.0,4.0,2.0,2.0,yes,no,no,no,,1.0,yes,semi-furnished,
3290000.0,6060.0,3.0,1.0,1.0,yes,yes,yes,no,no,0.0,no,furnished,
8645000.0,8050.0,3.0,1.0,1.0,yes,yes,yes,no,yes,1.0,no,furnished,
3990000.0,4500.0,3.0,2.0,2.0,no,no,yes,no,yes,0.0,no,semi-furnished,
4403000.0,4920.0,3.0,1.0,2.0,,no,no,no,no,1.0,no,semi-furnished,
4900000.0,2970.0,3.0,1.0,3.0,yes,no,no,no,no,0.0,no,semi-furnished,
8890000.0,4600.0,3.0,3.0,2.0,yes,yes,no,no,yes,2.0,no,furnished,
7455000.0,4300.0,3.0,2.0,2.0,yes,no,yes,no,no,1.0,no,unfurnished,
3605000.0,4500.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,semi-furnished,
9240000.0,3500.0,4.0,3.0,2.0,yes,,no,yes,no,2.0,no,furnished,
4277000.0,3400.0,3.0,1.0,2.0,yes,no,yes,,no,2.0,yes,semi-furnished,
6790000.0,12090.0,4.0,2.0,2.0,yes,no,no,no,no,2.0,yes,furnished,
3990000.0,4050.0,2.0,1.0,2.0,yes,yes,yes,no,no,0.0,yes,unfurnished,
6475000.0,3960.0,3.0,1.0,1.0,yes,no,yes,no,no,2.0,no,semi-furnished,
8750000.0,4320.0,3.0,2.0,2.0,yes,no,yes,yes,no,2.0,no,semi-furnished,
3150000.0,3450.0,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished,
3500000.0,12944.0,3.0,1.0,1.0,yes,,no,no,no,,no,unfurnished,
5460000.0,6100.0,3.0,1.0,3.0,yes,yes,no,no,yes,0.0,yes,semi-furnished,
4907000.0,4200.0,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,furnished,
9681000.0,6000.0,4.0,4.0,2.0,yes,yes,yes,yes,no,2.0,no,semi-furnished,
5075000.0,5720.0,2.0,1.0,2.0,yes,no,no,no,yes,0.0,yes,unfurnished,
3493000.0,4900.0,3.0,1.0,2.0,no,no,no,no,no,0.0,no,unfurnished,
7980000.0,9000.0,4.0,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished,
9800000.0,5751.0,3.0,2.0,4.0,yes,yes,no,no,yes,1.0,yes,unfurnished,
7210000.0,7680.0,4.0,2.0,4.0,yes,yes,no,no,yes,1.0,no,semi-furnished,
8400000.0,7476.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,unfurnished,
,6001.0,4.0,2.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished,
3885000.0,3180.0,4.0,2.0,2.0,yes,no,no,no,no,0.0,no,furnished,78.0
6895000.0,7700.0,3.0,2.0,1.0,yes,no,no,no,no,2.0,no,unfurnished,
6300000.0,7200.0,3.0,2.0,1.0,yes,no,yes,no,yes,3.0,no,semi-furnished,
3500000.0,3512.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,yes,unfurnished,
6475000.0,7410.0,3.0,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,unfurnished,
8080940.0,7001.0,3.0,3.0,4.0,yes,no,no,no,yes,2.0,no,furnished,
